item_id,pack_id,pack_title,street,pot_type,board_class,villain_profile,question_type,spot_seed,correct_focus,primary_attr,secondary_attr,recommendation_pack,evidence_focus
LR-001,line_range_flop_call_narrowing_high_dry,高张干燥面flop跟注后怎么缩窄,flop,srp,high_card_dry,unknown,villain_range_narrowing,"BTN c-bets A72r and BB calls",remove_most_pure_air_keep_ax_weak_pairs_backdoors,range_not_narrowed,ignore_showdown_value_retention,line_range_flop_narrowing,"range_after_call; air_reduction"
LR-002,line_range_flop_call_narrowing_high_dry,高张干燥面flop跟注后怎么缩窄,flop,srp,high_card_dry,unknown,range_density,"CO c-bets K83r and BB calls",medium_pair_and_kx_density_remain_meaningful,villain_density_misread,overestimate_bluff_density,line_range_flop_narrowing,"density_shift; showdown_value"
LR-003,line_range_flop_call_narrowing_high_dry,高张干燥面flop跟注后怎么缩窄,flop,three_bet_pot,high_card_dry,unknown,villain_range_narrowing,"3bet pot A-high dry flop gets called",caller_keeps_ax_pairs_some_backdoors_not_random_air,range_not_narrowed,misread_capped_range,line_range_flop_narrowing,"pot_type_signal; air_reduction"
LR-004,line_range_flop_call_narrowing_high_dry,高张干燥面flop跟注后怎么缩窄,flop,srp,paired_dry,unknown,range_density,"Paired dry flop bet-call after preflop call",underpairs_and_high_cards_without_backdoors_drop_fast,villain_density_misread,overestimate_bluff_density,line_range_flop_narrowing,"paired_board_signal; density_shift"
LR-005,line_range_flop_call_narrowing_high_dry,高张干燥面flop跟注后怎么缩窄,flop,srp,high_card_dry,passive_rec,villain_range_narrowing,"Passive rec calls small cbet on Q72r",retain_more_qx_and_pairs_less_float_air,range_not_narrowed,failed_to_identify_passive_strength,line_range_flop_narrowing,"villain_profile_signal; range_bucket_shift"
LR-006,line_range_flop_call_narrowing_high_dry,高张干燥面flop跟注后怎么缩窄,flop,srp,high_card_dry,overfolder,villain_range_narrowing,"Overfolder still chooses to call on A-high dry flop",remaining_range_is_stronger_than_pool_average,range_over_narrowed,misread_capped_range,line_range_flop_narrowing,"pool_adjustment; call_strength"
LR-007,line_range_flop_call_narrowing_high_dry,高张干燥面flop跟注后怎么缩窄,flop,srp,high_card_dry,station,range_density,"Station calls flop on K-high dry board",one_pair_density_stays_high_even_when_air_falls,villain_density_misread,overestimate_bluff_density,line_range_flop_narrowing,"station_profile; density_read"
LR-008,line_range_flop_call_narrowing_high_dry,高张干燥面flop跟注后怎么缩窄,flop,srp,high_card_dry,weak_reg,future_street_forecast,"Hero c-bets A-high dry and gets called",plan_fewer_turn_bluffs_on_blank_when_call_range_is_pair_heavy,future_street_disconnect,overestimate_bluff_density,line_range_turn_density,"future_street_signal; call_range_structure"
LR-009,line_range_flop_call_narrowing_dynamic,动态湿润面flop跟注后的保留,flop,srp,two_tone_dynamic,unknown,villain_range_narrowing,"Hero bets J97 two-tone and gets called",keep_draws_pairs_gutters_combo_draws_not_just_made_hands,range_over_narrowed,ignore_draw_retention,line_range_flop_narrowing,"draw_retention; dynamic_board"
LR-010,line_range_flop_call_narrowing_dynamic,动态湿润面flop跟注后的保留,flop,srp,low_connected,unknown,range_density,"T98r flop bet-call in SRP",draw_and_pair_plus_draw_density_stays_high,villain_density_misread,ignore_draw_retention,line_range_turn_density,"density_shift; draw_retention"
LR-011,line_range_flop_call_narrowing_dynamic,动态湿润面flop跟注后的保留,flop,srp,broadway_dynamic,unknown,villain_range_narrowing,"QJT two-tone flop gets called",both_equity_and_nut_regions_remain_wide,range_over_narrowed,misread_polarization,line_range_flop_narrowing,"range_bucket_shift; nut_retention"
LR-012,line_range_flop_call_narrowing_dynamic,动态湿润面flop跟注后的保留,flop,multiway,two_tone_dynamic,unknown,range_density,"Multiway wet flop bet-call-call",air_collapses_fast_but_draw_and_pair_density_stays_dense,range_not_narrowed,ignore_draw_retention,line_range_multiway_collapse,"multiway_density; draw_retention"
LR-013,line_range_flop_call_narrowing_dynamic,动态湿润面flop跟注后的保留,flop,three_bet_pot,two_tone_dynamic,unknown,villain_range_narrowing,"3bet pot middling two-tone flop gets called",caller_keeps_strong_draws_pairs_and_broadway_backdoors,range_over_narrowed,ignore_draw_retention,line_range_flop_narrowing,"pot_type_signal; dynamic_board"
LR-014,line_range_flop_call_narrowing_dynamic,动态湿润面flop跟注后的保留,flop,srp,monotone,unknown,range_density,"Monotone flop bet-call in SRP",made_flushes_are_few_but_single_spade_callers_exist_in_volume,villain_density_misread,misread_polarization,line_range_flop_narrowing,"monotone_board; density_balance"
LR-015,line_range_flop_call_narrowing_dynamic,动态湿润面flop跟注后的保留,flop,srp,two_tone_dynamic,station,villain_range_narrowing,"Station calls flop on wet board",retain_more_pair_plus_draw_and weak top pairs than solver-ish pool,range_not_narrowed,failed_to_identify_station,line_range_turn_density,"villain_profile_signal; draw_retention"
LR-016,line_range_flop_call_narrowing_dynamic,动态湿润面flop跟注后的保留,flop,srp,broadway_dynamic,weak_reg,future_street_forecast,"Broadway dynamic flop gets called by reg",turn_barrels_need_runout_help_because_call_range_keeps_equity,future_street_disconnect,ignore_draw_retention,line_range_turn_density,"future_street_signal; range_strength"
LR-017,line_range_turn_barrel_density,第二枪前后看密度,turn,srp,turn_blank,unknown,range_density,"High-card dry flop call then blank turn",blank_turn_does_not_recreate_fold_equity_when_pairs_stay_dense,villain_density_misread,overestimate_bluff_density,line_range_turn_density,"blank_turn_density; pair_retention"
LR-018,line_range_turn_barrel_density,第二枪前后看密度,turn,srp,turn_scare,unknown,range_density,"Scare overcard turn after wet flop call",scare_card_helps_some_bluffs_but_draw_retention_still_matters,villain_density_misread,ignore_draw_retention,line_range_turn_density,"turn_card_shift; density_comparison"
LR-019,line_range_turn_barrel_density,第二枪前后看密度,turn,srp,flush_complete,unknown,range_density,"Front flush completes after flop call",one-pair_density_falls_some_but made_draw_density_rises,villain_density_misread,misread_polarization,line_range_turn_density,"density_shift; completed_draws"
LR-020,line_range_turn_barrel_density,第二枪前后看密度,turn,three_bet_pot,turn_blank,unknown,future_street_forecast,"3bet pot A-high flop call then blank turn",second_barrel_needs_more_value_and_less_air_than_users_assume,future_street_disconnect,overestimate_bluff_density,line_range_turn_density,"pot_type_signal; future_line"
LR-021,line_range_turn_barrel_density,第二枪前后看密度,turn,srp,broadway_dynamic,passive_rec,range_density,"Passive rec calls flop then broadway turn falls",value_density_grows_faster_than_bluff_density_in_passive_pool,villain_density_misread,failed_to_identify_passive_strength,line_range_river_bluffcatch_density,"villain_profile_signal; density_read"
LR-022,line_range_turn_barrel_density,第二枪前后看密度,turn,srp,turn_blank,station,range_density,"Station calls flop on wet board and blank turn lands",caller_keeps_many_pair_draw_and pair bluffcatchers,range_not_narrowed,overestimate_bluff_density,line_range_turn_density,"station_profile; pair_plus_draw_density"
LR-023,line_range_turn_barrel_density,第二枪前后看密度,turn,multiway,turn_blank,unknown,range_density,"Multiway flop call-call then blank turn",bluff_density_drops_sharply_while continuing_pairs_and_draws_stay_dense,villain_density_misread,underestimate_value_density,line_range_multiway_collapse,"multiway_density; blank_turn"
LR-024,line_range_turn_barrel_density,第二枪前后看密度,turn,srp,turn_scare,overfolder,future_street_forecast,"Overfolder pool sees scare turn after flop call",extra_barrels_work_only_when_call_range_was_already_capable_of_folding,future_street_disconnect,misread_capped_range,line_range_turn_density,"pool_adjustment; turn_fold_equity"
LR-025,line_range_turn_checkthrough_cap,turn过牌后谁更capped,turn,srp,turn_blank,unknown,range_shift_trigger,"Flop bet-call then turn checks through",both_ranges_cap_somewhat_but_ip_often_keeps_medium_showdown,range_over_narrowed,ignore_showdown_value_retention,line_range_hero_representation,"line_shift; cap_assessment"
LR-026,line_range_turn_checkthrough_cap,turn过牌后谁更capped,turn,srp,turn_blank,unknown,hero_range_representation,"Hero checks back blank turn after flop cbet called",hero_represents_more_medium_showdown_less_polar_value,hero_line_misrepresentation,ignore_showdown_value_retention,line_range_hero_representation,"hero_range_after_checkback"
LR-027,line_range_turn_checkthrough_cap,turn过牌后谁更capped,turn,srp,turn_scare,unknown,villain_range_narrowing,"Turn scare card checks through after wet flop action",villain_often_remains_pair_draw_heavy_not_always_trapping,range_over_narrowed,misread_capped_range,line_range_turn_density,"checkthrough_cap; villain_range_after"
LR-028,line_range_turn_checkthrough_cap,turn过牌后谁更capped,turn,three_bet_pot,turn_blank,weak_reg,hero_range_representation,"3bet pot flop cbet called then turn check-back",hero_line_caps_more_than_users_expect,hero_line_misrepresentation,misread_range_merge,line_range_hero_representation,"pot_type_signal; hero_story"
LR-029,line_range_turn_checkthrough_cap,turn过牌后谁更capped,turn,multiway,turn_blank,unknown,range_shift_trigger,"Multiway flop checks through then turn checks through",everyone_loses_air_and_keep_marginal_showdown_far_more_than_bluffs,range_not_narrowed,ignore_showdown_value_retention,line_range_multiway_collapse,"multiway_cap; density_collapse"
LR-030,line_range_turn_checkthrough_cap,turn过牌后谁更capped,turn,srp,broadway_dynamic,station,hero_range_representation,"Hero checks back turn versus station on drawy board",hero_should_expect_river_calls_from_many_worse_pairs,hero_line_misrepresentation,failed_to_identify_station,line_range_hero_representation,"hero_story; rec_call_density"
LR-031,line_range_turn_checkthrough_cap,turn过牌后谁更capped,turn,srp,turn_blank,overfolder,range_shift_trigger,"Pool overfolds river after turn check-through",cap_matter_depends_on_who_kept_air_previously,range_over_narrowed,misread_capped_range,line_range_river_bluffcatch_density,"cap_quality; future_street"
LR-032,line_range_turn_checkthrough_cap,turn过牌后谁更capped,turn,srp,paired_runout,unknown,future_street_forecast,"Turn pairs board and checks through",river_stabs_should_account_for_pair-heavy_showdown_not_just_air,future_street_disconnect,ignore_showdown_value_retention,line_range_river_bluffcatch_density,"paired_turn_cap; future_line"
LR-033,line_range_river_probe_density,river probe后value还是bluff更多,river,srp,river_polarizing,unknown,range_density,"Flop cbet call, turn check-through, villain probes river",probe_line_contains_more_medium_value_than_users_assume,villain_density_misread,underestimate_value_density,line_range_river_bluffcatch_density,"probe_density; showdown_value"
LR-034,line_range_river_probe_density,river probe后value还是bluff更多,river,srp,flush_complete,unknown,range_density,"Turn checks through and flush completes on river with probe",value_density_climbs_because_draws_realize_more_than_air_bluffs,villain_density_misread,underestimate_value_density,line_range_river_bluffcatch_density,"completed_draws; probe_density"
LR-035,line_range_river_probe_density,river probe后value还是bluff更多,river,srp,paired_runout,passive_rec,range_density,"Passive rec probes river after turn check-through",probe_is_underbluffed_and_pair_plus_value_heavy,villain_density_misread,failed_to_identify_passive_strength,line_range_river_bluffcatch_density,"villain_profile_signal; probe_density"
LR-036,line_range_river_probe_density,river probe后value还是bluff更多,river,srp,river_polarizing,weak_reg,range_density,"Reg probes scary river after flop call turn check-through",bluff_exists_but_not_at_unlimited_density,villain_density_misread,misread_polarization,line_range_river_bluffcatch_density,"polar_probe; density_balance"
LR-037,line_range_river_probe_density,river probe后value还是bluff更多,river,multiway,river_polarizing,unknown,range_density,"Multiway turn checks through then one player probes river",probe_is_far_more_value_dense_than_heads_up,villain_density_misread,underestimate_value_density,line_range_multiway_collapse,"multiway_probe_density; underbluff_population"
LR-038,line_range_river_probe_density,river probe后value还是bluff更多,river,srp,high_card_dry,station,range_density,"Station probes river small after two checks",medium_value_density_is_higher_than_bluff_density,range_over_narrowed,ignore_showdown_value_retention,line_range_river_bluffcatch_density,"station_profile; probe_range"
LR-039,line_range_river_probe_density,river probe后value还是bluff更多,river,three_bet_pot,river_polarizing,weak_reg,range_density,"3bet pot turn checks through and OOP probes river",probe_line_keeps_more_showdown_and_less_air_than_users_guess,villain_density_misread,underestimate_value_density,line_range_river_bluffcatch_density,"pot_type_signal; probe_density"
LR-040,line_range_river_probe_density,river probe后value还是bluff更多,river,srp,paired_runout,overfolder,future_street_forecast,"Overfolder pool probes paired river after turn check-through",bluff_density_can_rise_some_but value_still_leads_without_blockers,future_street_disconnect,misread_polarization,line_range_river_bluffcatch_density,"pool_adjustment; blocker_need"
LR-041,line_range_passive_polarization,被动玩家后程更极化,river,srp,river_polarizing,passive_rec,range_density,"Passive rec takes call-call-jam line by river",value_density_dominates_bluff_density,villain_density_misread,failed_to_identify_passive_strength,line_range_river_bluffcatch_density,"passive_polarization; density_read"
LR-042,line_range_passive_polarization,被动玩家后程更极化,turn,srp,turn_blank,passive_rec,range_shift_trigger,"Passive rec check-raises blank turn after flop call",range_shifts_sharply_to_strong_value_and_draws,range_not_narrowed,failed_to_identify_passive_strength,line_range_turn_density,"passive_turn_strength; range_shift"
LR-043,line_range_passive_polarization,被动玩家后程更极化,river,srp,flush_complete,passive_rec,range_density,"Passive line then river big lead when draw completes",made_value_density_jumps_more_than_bluff_density,villain_density_misread,underestimate_value_density,line_range_river_bluffcatch_density,"completed_draws; passive_strength"
LR-044,line_range_passive_polarization,被动玩家后程更极化,river,srp,paired_runout,passive_rec,range_density,"Passive player overbets paired river",line_is_more_value_polar_than_users_expect,villain_density_misread,misread_polarization,line_range_river_bluffcatch_density,"passive_overbet; polarization"
LR-045,line_range_passive_polarization,被动玩家后程更极化,turn,multiway,turn_scare,passive_rec,range_shift_trigger,"Passive rec suddenly leads turn into two players",range_collapses_toward_strong_value_not_airy_pressure,range_not_narrowed,failed_to_identify_passive_strength,line_range_multiway_collapse,"multiway_passive_strength; range_shift"
LR-046,line_range_passive_polarization,被动玩家后程更极化,river,three_bet_pot,river_polarizing,passive_rec,range_density,"Passive caller wakes up with river donk in 3bet pot",line_represents_more_strength_than_normal_pool,villain_density_misread,failed_to_identify_passive_strength,line_range_river_bluffcatch_density,"pot_type_signal; passive_polarization"
LR-047,line_range_passive_polarization,被动玩家后程更极化,river,srp,high_card_dry,passive_rec,range_density,"Passive rec tiny probe river after check-through",not_all_passive_probes_are_bluffs_some_are_merge_value,range_over_narrowed,misread_range_merge,line_range_river_bluffcatch_density,"merge_value; passive_profile"
LR-048,line_range_passive_polarization,被动玩家后程更极化,turn,srp,broadway_dynamic,passive_rec,future_street_forecast,"Passive rec calls flop and raises turn broadway card",river_plans_should_assume_heavier_value_region,future_street_disconnect,failed_to_identify_passive_strength,line_range_river_bluffcatch_density,"future_street_signal; passive_strength"
LR-049,line_range_hero_big_bet_story,自己大注线在代表什么,turn,srp,turn_blank,unknown,hero_range_representation,"Hero wants big turn barrel after dry flop cbet gets called",big_bet_should_represent_stronger_value_and_better_draws_than_current_hand,hero_line_misrepresentation,line_not_supported_by_future_street,line_range_hero_representation,"hero_story; line_credibility"
LR-050,line_range_hero_big_bet_story,自己大注线在代表什么,river,srp,river_polarizing,unknown,hero_range_representation,"Hero considers river overbet after medium-pressure line",overbet_story_requires_polar_region_not_merged_one_pair,hero_line_misrepresentation,misread_polarization,line_range_hero_representation,"hero_story; polarization"
LR-051,line_range_hero_big_bet_story,自己大注线在代表什么,turn,three_bet_pot,turn_scare,unknown,future_street_forecast,"Hero big-bets scare turn in 3bet pot with hand that cannot support river jam",choose_line_that_survives_future_street,future_street_disconnect,line_not_supported_by_future_street,line_range_hero_representation,"future_line; hero_story"
LR-052,line_range_hero_big_bet_story,自己大注线在代表什么,river,srp,flush_complete,unknown,hero_range_representation,"Hero large river bet after checked-back turn and flush completes",story_is_often_incoherent_without_flush_or_relevant_blockers,hero_line_misrepresentation,misread_polarization,line_range_hero_representation,"hero_story; blocker_requirement"
LR-053,line_range_hero_big_bet_story,自己大注线在代表什么,turn,multiway,turn_blank,unknown,hero_range_representation,"Hero wants large turn stab into two ranges after flop checks through",multiway_big_bet_represents_very_strong_region_only,hero_line_misrepresentation,line_not_supported_by_future_street,line_range_multiway_collapse,"multiway_story; line_credibility"
LR-054,line_range_hero_big_bet_story,自己大注线在代表什么,river,srp,paired_runout,unknown,hero_range_representation,"Hero overbets paired river after two small bets",line_tells_too_strong_a_story_for_medium_showdown_value,hero_line_misrepresentation,misread_range_merge,line_range_hero_representation,"paired_river_story; merge_vs_polar"
LR-055,line_range_hero_big_bet_story,自己大注线在代表什么,turn,srp,broadway_dynamic,station,hero_range_representation,"Hero big turn barrel versus station with thin value",big_story_not_needed_when_target_calls_worse_small_bets,hero_line_misrepresentation,failed_to_identify_station,line_range_hero_representation,"target_based_story; value_line"
LR-056,line_range_hero_big_bet_story,自己大注线在代表什么,river,three_bet_pot,river_polarizing,weak_reg,hero_range_representation,"3bet pot hero jams river after passive turn",jam_story_requires_more nutted combos than line preserved,hero_line_misrepresentation,line_not_supported_by_future_street,line_range_hero_representation,"pot_type_signal; hero_story"
LR-057,line_range_hero_checkback_story,自己的过牌线怎么讲故事,flop,srp,high_card_dry,unknown,hero_range_representation,"Hero checks back A-high dry flop IP",checkback_keeps_medium_showdown_and some traps but caps airless_bets,hero_line_misrepresentation,ignore_showdown_value_retention,line_range_hero_representation,"hero_range_after_checkback"
LR-058,line_range_hero_checkback_story,自己的过牌线怎么讲故事,turn,srp,turn_blank,unknown,hero_range_representation,"Hero checks flop then bets blank turn",delayed_stab_story_needs_preserved_air_and backdoor_equity,hero_line_misrepresentation,line_not_supported_by_future_street,line_range_hero_representation,"delayed_story; future_line"
LR-059,line_range_hero_checkback_story,自己的过牌线怎么讲故事,river,srp,river_polarizing,unknown,future_street_forecast,"Hero checkbacks flop and turn then wants big river bluff",double_check_line_removes_too_much_credible_value_for_large_bluff,future_street_disconnect,line_not_supported_by_future_street,line_range_hero_representation,"future_line; hero_story"
LR-060,line_range_hero_checkback_story,自己的过牌线怎么讲故事,turn,three_bet_pot,turn_blank,unknown,hero_range_representation,"Hero checks back turn in 3bet pot then bets river",line_represents_more_medium_showdown_than_polar_strength,hero_line_misrepresentation,misread_range_merge,line_range_hero_representation,"pot_type_signal; hero_story"
LR-061,line_range_hero_checkback_story,自己的过牌线怎么讲故事,river,srp,paired_runout,station,hero_range_representation,"Hero checks back turn versus station and considers huge river bet",smaller_merge_value_story_is_more_credible_than_polar_blast,hero_line_misrepresentation,failed_to_identify_station,line_range_hero_representation,"story_selection; target_adjustment"
LR-062,line_range_hero_checkback_story,自己的过牌线怎么讲故事,turn,multiway,turn_scare,unknown,hero_range_representation,"Hero checks back flop multiway then overbets scare turn",line_overstates_strength_given_previous_passivity,hero_line_misrepresentation,line_not_supported_by_future_street,line_range_multiway_collapse,"multiway_story; credibility"
LR-063,line_range_hero_checkback_story,自己的过牌线怎么讲故事,river,srp,flush_complete,unknown,hero_range_representation,"Hero checks back turn then tries to rep river flush loudly",line_did_not_preserve_enough_flush_region_for_big_bet,hero_line_misrepresentation,line_not_supported_by_future_street,line_range_hero_representation,"runout_story; hero_range_after"
LR-064,line_range_hero_checkback_story,自己的过牌线怎么讲故事,flop,srp,low_connected,unknown,hero_range_representation,"Hero checks back dynamic flop IP",checkback_keeps_more_equity_realization_and less_immediate_polarization,hero_line_misrepresentation,ignore_draw_retention,line_range_hero_representation,"dynamic_checkback; hero_story"
LR-065,line_range_draw_retention_runout,听牌runout后哪些牌还在,turn,srp,two_tone_dynamic,unknown,villain_range_narrowing,"Two-tone flop call and brick turn",draws_still_remain_in_volume_even_without_improvement,range_over_narrowed,ignore_draw_retention,line_range_turn_density,"draw_retention; turn_blank"
LR-066,line_range_draw_retention_runout,听牌runout后哪些牌还在,river,srp,flush_complete,unknown,range_density,"Missed straight draws and made flushes after two-tone runout",separate_missed_draw_density_from_completed_flush_density,villain_density_misread,misread_polarization,line_range_river_bluffcatch_density,"completed_vs_missed_draws"
LR-067,line_range_draw_retention_runout,听牌runout后哪些牌还在,river,srp,paired_runout,unknown,range_density,"Straight draws brick and board pairs river",missed_draws_exist_but pair-up_value_and boats_shift_density,villain_density_misread,underestimate_value_density,line_range_river_bluffcatch_density,"draw_retention; paired_runout"
LR-068,line_range_draw_retention_runout,听牌runout后哪些牌还在,turn,three_bet_pot,two_tone_dynamic,unknown,villain_range_narrowing,"3bet pot wet flop call then blank turn",strong_draws_remain_more_than_users_think,range_over_narrowed,ignore_draw_retention,line_range_turn_density,"pot_type_signal; draw_retention"
LR-069,line_range_draw_retention_runout,听牌runout后哪些牌还在,river,srp,monotone,unknown,range_density,"Monotone flop and later blank river after passive line",single-card_flushes_and bluffcatchers_both_survive_in_specific_mix,villain_density_misread,misread_range_merge,line_range_river_bluffcatch_density,"monotone_density; retention_mix"
LR-070,line_range_draw_retention_runout,听牌runout后哪些牌还在,turn,multiway,two_tone_dynamic,unknown,range_density,"Wet multiway flop goes call-call into turn",draw_retention_stays_high_but air_drops_sharply,range_not_narrowed,ignore_draw_retention,line_range_multiway_collapse,"multiway_draw_retention; density_shift"
LR-071,line_range_draw_retention_runout,听牌runout后哪些牌还在,river,srp,river_polarizing,station,range_density,"Station reaches river after calling with many draw-heavy turns",missed_draws_exist_but weak_pairs_also_arrive_often,range_over_narrowed,failed_to_identify_station,line_range_river_bluffcatch_density,"station_profile; draw_vs_pair_density"
LR-072,line_range_draw_retention_runout,听牌runout后哪些牌还在,river,srp,flush_complete,passive_rec,future_street_forecast,"Passive rec calls wet flop and turn then flush hits river",future_bluffcatchs_should_account_for_completed_draw_weight,future_street_disconnect,failed_to_identify_passive_strength,line_range_river_bluffcatch_density,"future_signal; completed_draws"
LR-073,line_range_multiway_collapse,多人池里范围更快塌缩,flop,multiway,high_card_dry,unknown,villain_range_narrowing,"Hero bets dry flop into two callers and gets one call one fold",remaining_range_is_stronger_than_heads_up_equivalent,range_not_narrowed,underestimate_value_density,line_range_multiway_collapse,"multiway_survival; strength_shift"
LR-074,line_range_multiway_collapse,多人池里范围更快塌缩,flop,multiway,two_tone_dynamic,unknown,range_density,"Wet flop bet-call-call in family pot",air_collapses_and pair_draw_density_stays_heavy,villain_density_misread,underestimate_value_density,line_range_multiway_collapse,"multiway_density; draw_retention"
LR-075,line_range_multiway_collapse,多人池里范围更快塌缩,turn,multiway,turn_blank,unknown,range_density,"One caller remains on blank turn after multiway flop action",bluff_density_is_lower_than_heads_up_heuristics,range_not_narrowed,overestimate_bluff_density,line_range_multiway_collapse,"multiway_blank_turn; density_shift"
LR-076,line_range_multiway_collapse,多人池里范围更快塌缩,turn,multiway,turn_scare,unknown,range_shift_trigger,"Scare turn card in multiway after flop calls",scare_cards_do_not_restore_fold_equity_like_heads_up,future_street_disconnect,underestimate_value_density,line_range_multiway_collapse,"multiway_scare_turn; fold_equity"
LR-077,line_range_multiway_collapse,多人池里范围更快塌缩,river,multiway,river_polarizing,unknown,range_density,"River bet after multiway passive line",value_density_dominates_far_more_often_than_users_expect,villain_density_misread,underestimate_value_density,line_range_multiway_collapse,"multiway_river_density; underbluff_population"
LR-078,line_range_multiway_collapse,多人池里范围更快塌缩,river,multiway,flush_complete,unknown,range_density,"Flush-completing river after multiway draw-heavy action",completed_value_regions_expand_more_than bluff_regions,villain_density_misread,underestimate_value_density,line_range_multiway_collapse,"multiway_completed_draws; density_shift"
LR-079,line_range_multiway_collapse,多人池里范围更快塌缩,turn,multiway,paired_runout,passive_rec,range_shift_trigger,"Paired turn in multiway pot against passive field",ranges_collapse_toward_value_and showdown_not_air,range_not_narrowed,failed_to_identify_passive_strength,line_range_multiway_collapse,"passive_multiway; range_shift"
LR-080,line_range_multiway_collapse,多人池里范围更快塌缩,river,multiway,paired_runout,station,future_street_forecast,"Station-heavy family pot reaches paired river",bluffcatch_and bluff plans_should_be_more_conservative_than_heads_up,future_street_disconnect,failed_to_identify_station,line_range_multiway_collapse,"multiway_station_profile; future_line"
